bialski, rawskie
biecki, krakowskie
bielski, płockie
bielski, podlaskie
błoński, mazowieckie
brzeski, brzeskie
brzeziński, łęczyckie
bydgoski, inowrocławskie
chęciński, sandomierskie
chełmiński, chełmińskie
ciechanowski, mazowieckie
czerski, mazowieckie
człuchowski, pomorskie
dobrzyński, dobrzyńskie
drohicki, podlaskie
gąbiński, rawskie
garwoliński, mazowieckie
gdański, pomorskie
gnieźnieński, kaliskie
gostyniński, rawskie
grodzieński, trockie, 
grójecki, mazowieckie
inowrocławski, inowrocławskie
kaliski, kaliskie
kamieniecki, mazowieckie
kcyński, kaliskie
kolneński, mazowieckie
koniński, kaliskie
kościański, poznańskie
kowalski, brzeskie
kruszwicki, brzeskie
ksiąski, krakowskie
łęczycki, łęczyckie
lelowski, krakowskie
lipnowski, dobrzyńskie
liwski, mazowieckie
łomżyński, mazowieckie
lubelski, lubelskie
łukowski, lubelskie
makowski, mazowieckie
malborski, malborskie
michałowski, chełmińskie
mielnicki, podlaskie
mirachowski, pomorskie
mławski, płockie
mszczonowski, rawskie
nakielski, kaliskie
niedzborski, płockie
nowomiejski, mazowieckie
nowski, pomorskie
nurski, mazowieckie
opoczyński, sandomierskie
orłowski, łęczyckie
ostrołęcki, mazowieckie
ostrowski, mazowieckie
ostrzeszowski, sieradzkie
pilzneński, sandomierskie
piotrkowski, sieradzkie
płocki, płockie
płoński, płockie
poznański, poznańskie
proszowicki, krakowskie
przasnyski, mazowieckie
przedecki, brzeskie
pucki, pomorskie
pyzdrski, kaliskie
raciąski, płockie
radomski, sandomierskie
radomszczański, sieradzkie
radziejowski, brzeskie
radziłowski, mazowieckie
rawski, rawskie
rożański, mazowieckie
rypiński, dobrzyńskie
sąchocki, mazowieckie
sądecki, krakowskie
sandomierski, sandomierskie
serocki, mazowieckie
sieradzki, sieradzkie
sierpecki, płockie
śląski, krakowskie
sochaczewski, rawskie
stężycki, sandomierskie
świecki, pomorskie
szadkowski, sieradzkie
szczyrzycki, krakowskie
szreński, płockie
tarczyński, mazowieckie
tczewski, pomorskie
tucholski, pomorskie
urzędowski, lubelskie
wałecki, poznańskie
warecki, mazowieckie
warszawski, mazowieckie
wąsoski, mazowieckie
wieluński, sieradzkie
wiski, mazowieckie
wiślicki, sandomierskie
wschowski, poznańskie
wyszogrodzki, mazowieckie
zakroczymski, mazowieckie
zambrowski, mazowieckie
